v4_0,mmm-yy,Time,uk-only,Geography,sic-unofficial,UnofficialStandardIndustrialClassification
97.0624,May-25,May-25,K02000001,United Kingdom,K,K : Financial and insurance activities
101.1511,May-25,May-25,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
106.6291,May-25,May-25,K02000001,United Kingdom,H,H : Transportation and storage
111.1862,May-25,May-25,K02000001,United Kingdom,J,J : Information and communication
103.6055,May-25,May-25,K02000001,United Kingdom,A,A : Agriculture
101.2688,May-25,May-25,K02000001,United Kingdom,F,F : Construction
101.9254,May-25,May-25,K02000001,United Kingdom,A--T,A-T : Monthly GDP
91.1027,May-25,May-25,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
98.737,May-25,May-25,K02000001,United Kingdom,P,P : Education
103.2391,May-25,May-25,K02000001,United Kingdom,N,N : Administrative and support service activities
102.1227,May-25,May-25,K02000001,United Kingdom,S,S : Other Service Activities
103.7119,May-25,May-25,K02000001,United Kingdom,T,T : Activities of Households as employers
102.7155,May-25,May-25,K02000001,United Kingdom,G--T,G-T : Index of Services
109.5571,May-25,May-25,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
102.0342,Apr-25,Apr-25,K02000001,United Kingdom,I,I : Accommodation and food service activities
109.0372,Apr-25,Apr-25,K02000001,United Kingdom,J,J : Information and communication
102.5733,Apr-25,Apr-25,K02000001,United Kingdom,G--T,G-T : Index of Services
100.2858,Apr-25,Apr-25,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
98.5455,Apr-25,Apr-25,K02000001,United Kingdom,P,P : Education
102.2879,Apr-25,Apr-25,K02000001,United Kingdom,T,T : Activities of Households as employers
105.6932,Apr-25,Apr-25,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
103.8541,Apr-25,Apr-25,K02000001,United Kingdom,O--T,O-T : Government and Other Services
103.5792,Apr-25,Apr-25,K02000001,United Kingdom,N,N : Administrative and support service activities
99.7894,Apr-25,Apr-25,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
89.3951,Apr-25,Apr-25,K02000001,United Kingdom,B,B : Mining and quarrying
97.3533,Apr-25,Apr-25,K02000001,United Kingdom,K,K : Financial and insurance activities
102.5703,Apr-25,Apr-25,K02000001,United Kingdom,S,S : Other Service Activities
106.3757,Apr-25,Apr-25,K02000001,United Kingdom,O,O : Public administration and defence
107.1498,Apr-25,Apr-25,K02000001,United Kingdom,Q,Q : Human health and social work activities
99.1285,Apr-25,Apr-25,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
100.4867,Apr-25,Apr-25,K02000001,United Kingdom,C,C : Manufacturing
